stratum.name;population.size;sample size;Weight;;;Notes;;;;
January - REF - MPCA 1 - Erbil;15;15;0,675448688;;;;;;;
January - REF - MPCA 2  - Erbil;4;4;0,675448688;;;;;;;
February - IDP - MPCA 1  - Erbil;97;97;0,675448688;;;;;;;
February - IDP - MPCA 2  - Erbil;174;124;0,947807031;;;;;;;
February - IDP - MPCA 3  - Erbil;124;111;0,754555292;;;;;;;
February - REF - MPCA 1  - Sulaymaniyah;114;99;0,777789399;;;;;;;
February - IDP - MPCA 1  - Sulaymaniyah;98;96;0,689520536;;;;;;;
March - IDP - MPCA 1  - Dohuk;328;189;1,172207248;;;;;;;
March - IDP - MPCA 2  - Dohuk;203;118;1,16200071;;;;;;;
March - IDP - MPCA 3  - Dohuk;147;111;0,894513128;;;;;;;
March - IDP - MPCA 1 - Erbil;2;1;1,350897377;;;;;;;
March - IDP - MPCA 2 - Erbil;2;2;0,675448688;;;;;;;
March - IDP - MPCA 3 - Erbil;3;3;0,675448688;;;;;;;
March - Ref - MPCA 1 - Erbil;328;183;1,210640272;;;;;;;
March - Ref - MPCA 2 - Erbil;125;53;1,59303936;;;;;;;
March - Ref - MPCA 1 - Sulaymaniyah;176;126;0,943483882;;;;;;;
March - IDP - MPCA 1 - Sulaymaniyah;39;39;0,675448688;Confirmed;;Sample size was originally noted as 39, but was showing up in dataset as 40. Found 1 duplicate - removed and entered into data cleaning log. ;;;;
April - Ref - MPCA 1  - Dohuk;326;195;1,129211654;;;;;;;
April - Ref - MPCA 2  - Dohuk;325;193;1,137413595;;;;;;;
April - Ref - MPCA 3  - Dohuk;52;52;0,675448688;;;;;;;
April - IDP - MPCA 1 - Dohuk;483;211;1,546169273;;;;;;;
April - IDP - MPCA 2 - Dohuk;232;140;1,119314969;;;;;;;
April - IDP - MPCA 3 - Dohuk;66;57;0,782098481;;;;;;;
April - Ref - MPCA 1  - Erbil;86;77;0,754397236;;;;;;;
April - Ref - MPCA 2  - Erbil;106;35;2,045644599;;;;;;;
April - Ref - MPCA 3  - Erbil;11;3;2,476645191;;;;;;;
April - IDP - MPCA 1 - Erbil;70;69;0,6852378;Confirmed;;Sample size was originally noted as 70, but showing up in dataset as 76. 1 duplicate and 6 names not in original populations found (all removed and logged), so actual sample is 69.  ;;;;
April - IDP - MPCA 2 - Erbil;132;132;0,675448688;;;;;;;
April - IDP - MPCA 3 - Erbil;91;91;0,675448688;;;;;;;
April - Ref - MPCA 1 - Sulaymaniyah;105;103;0,688564197;;;;;;;
April - Ref - MPCA 2 - Sulaymaniyah;2;1;1,350897377;;;;;;;
April - IDP - MPCA 1 - Sulaymaniyah;44;43;0,691156797;Confirmed;;Sample size was originally noted as 39, but was found to be 47. 4 duplicates found (removed and logged), so actual sample is 43;;;;
May - Ref - MPCA - Dohuk;1237;518;1,612992331;;;;;;;
May - IDP - MPCA - Dohuk;354;194;1,232519772;;;;;;;
May - Ref - MPCA - Erbil;281;127;1,494496704;;;;;;;
May - IDP - MPCA - Erbil;240;187;0,866886017;;;;;;;
May - Ref - MPCA - Sulaymaniyah;130;130;0,675448688;Confirmed;;Sample size was originally noted as 130 but 131 found. 1 duplicate found (removed and logged) so actual sample is 130;;;;
June - Ref - MPCA - Dohuk;73;72;0,68482992;;;;;;;
June - Ref - MPCA - Erbil;145;145;0,675448688;;;;;;;
June - IDP - MPCA - Erbil;14;14;0,675448688;Confirmed;;Sample size was originally noted as 14 but 15 found. 1 name not in original population lists found (removed and logged), so actual sample is 14;;;;
June - Ref - MPCA - Sulaymaniyah;57;57;0,675448688;;;;;;;
June - IDP - MPCA - Sulaymaniyah;42;41;0,691923047;;;;;;;
July - Ref - MPCA - Erbil;13;12;0,731736079;;;;;;;
July - IDP - MPCA - Erbil;5;5;0,675448688;;;;;;;
July - IDP - MPCA - Sulaymaniyah;2;2;0,675448688;;;;;;;
August - Ref - Zain - Dohuk;51;51;0,675448688;Confirmed;;Sample size was originally noted as 51 but 53 found. Through checks, 2 duplicates found (removed and logged), so actual sample is 51 ;;;;
August - IDP - Zain - Dohuk;30;30;0,675448688;;;;;;;
August - Ref - Qandil - Erbil;28;28;0,675448688;;;;;;;
August - IDP - Qandil - Erbil;8;7;0,771941358;;;;;;;
August - Ref - Zain - Erbil;219;244;0,60624288;;;Lower population size already there - this was not edited/changed. ;;;;
August - Ref - Zain - Sulaymaniyah;132;131;0,680604785;;;;;;;
August - Ref - Qandil - Sulaymaniyah;1;1;0,675448688;;;;;;;
September - Ref - Zain - Dohuk;42;42;0,675448688;;;;;;;
September - IDP - Zain - Dohuk;123;118;0,704069396;;;;;;;
September - Ref - Qandil - Erbil;32;32;0,675448688;;;;;;;
September - IDP - Qandil - Erbil;2;2;0,675448688;;;;;;;
October - Ref - Zain - Dohuk;1;1;0,675448688;;;New strata needs to be added: October - IDP - Qandil - Dohuk (1) ;;;;
October - IDP - Zain - Dohuk;2;2;0,675448688;Confirmed;;Sample size was originally noted as 2 but 3 found. ;;;;
October - IDP - Qandil - Erbil;2;2;0,675448688;;;;;;;
October - Ref - Qandil - Erbil;8;8;0,675448688;Confirmed;;Sample size is 8 - population size was originally noted as 5, but when checked lists, actual population size should be 8;;;;
October - Ref - Zain - Erbil;382;156;1,653983327;;;;;;;#DIV/0!
October - IDP - Zain - Erbil;389;280;0,938391214;;;;;;;
October - Ref - Qandil - Sulaymaniyah;5;5;0,675448688;Confirmed;;Sample size was originally noted as 2, but is actually 5 (confirmed by cross-checking both population and sample lists);;;;
November - Ref - Qandil - Dohuk;1;1;0,675448688;;;;;;;
November - Ref - Qandil - Erbil;155;155;0,675448688;;;;;;;
November - IDP - Qandil - Erbil;1;1;0,675448688;;;;;;;
November - Ref - Zain - Erbil;78;78;0,675448688;;;;;;;
November - Ref - Qandil - Sulaymaniyah;1;1;0,675448688;;;;;;;
December - IDP - Qandil - Erbil;14;13;0,72740628;Confirmed;;Sample size was originally noted as 14, but was found to be 15. 2 duplicates found (removed and logged), so actual sample size is 13;;;;
December - Ref - Qandil - Erbil;90;90;0,675448688;Confirmed;;Sample size was originally noted as 90, but was found to be 92. 2 names found which were not found in the original population lists (have removed and logged), so actual sample size is 90. ;;;;
December - IDP - Qandil - Sulaymaniyah;75;75;0,675448688;;;;;;;
December - Ref - Qandil - Sulaymaniyah;117;40;1,975687414;;;;;;;
